"PredicateURI","Context_Subject","Context_Object","NP","labelSimilarity","confidence","sentence","subjectSimilarity","objectSimilarity"
"http://dbpedia.org/ontology/academicDiscipline","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/PersonFunction","is a full professor at",0.49895174978516044,NULL,"[s{Agent}] is a new zealand [o{Disease}] academic, and as of 2019 is a full professor at the university of otago.",0.4509831204192917,0.5230831861920695
"http://dbpedia.org/ontology/academicDiscipline","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/PersonFunction","is a pakistani professor of",0.5056470356230374,NULL,"[s{Agent}] (urdu: سلیمہ اکرام‎; born 17 may 1965) is a pakistani professor of [o{Book}] at the american university in cairo, a participant in many egyptian archaeological projects, the author of several books on egyptian archaeology, a contributor to various magazines and a guest on pertinent television programs.",0.4806523788376197,0.5161694666914556
"http://dbpedia.org/ontology/academicDiscipline","http://dbpedia.org/ontology/Scientist","http://dbpedia.org/ontology/PersonFunction","is a professor of",0.5248481722727717,NULL,"[s{Agent}] is a professor of chemical and [o{Software}] at princeton university[1] and a 2018 recipient of the macarthur fellowship for his work in bioengineering.",0.49133383552420923,0.5257846632651424
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is a business street located in",0.7798725656285312,NULL,"[s{Road}] (turkish: kushimoto sokağı) is a business street located in yenişehir, [o{City}] district of [o{City}], southern turkey.",0.523919981545686,0.6344168838982254
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is a market street in",0.7467636470803669,NULL,"qabil street (arabic: شارع قابل) also known as [s{Road}] (arabic: سوق قابل) is a market street in [o{City}], saudi arabia.",0.5292132292160149,0.5886558948238843
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is a road in",0.8271531665812668,NULL,"[s{Road}] (chinese: 松仁路; pinyin: sōngrén lù; cantonese yale: cung4 yan4 lou6), is a road in [o{City}], near yat tung estate.",0.6838481913418896,0.5594022689178451
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is a street in",0.7520166034099675,NULL,"[s{Road}] (french language: rue du coton) is a street in ancient quarter of [o{City}].",0.523807261480866,0.5928469252391534
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is a town square in",0.7131841215828333,NULL,"[s{Road}] (""bellevue square"", from the french bellevue meaning ""beautiful sight"") is a town square in [o{City}], switzerland built in 1856.",0.5042914932173748,0.6622124215561352
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","is an urban plaza in",0.7153935673975611,NULL,"the john w. gallivan utah center (commonly known as the [s{Road}]), is an urban plaza in the heart of downtown [o{City}], utah, united states.",0.5126815083486607,0.6984837524482358
"http://dbpedia.org/ontology/addressInRoad","http://dbpedia.org/ontology/Road","http://dbpedia.org/ontology/City","was the area designated in",0.7459139341815971,NULL,"[s{Road}] was the area designated in [o{City}].",0.47177666954100883,0.5808942926321375
